date,index_price,correlation,high_threshold,low_threshold,market_state,position_size,strategy_cumulative,optimized_position,optimized_state,optimized_cumulative,ma20,price_trend
2025-06-26,608.380615234375,0.8581827329096209,0.8651591376659358,0.7151591376659358,危機市場,0.0,1.85477701093693,0.5,transition,1.9263485823176207,594.2254669189454,upward
2025-06-27,611.4032592773438,0.8602055993352885,0.8651591376659358,0.7151591376659358,危機市場,0.0,1.85477701093693,0.5,transition,1.9311339633120337,595.5478424072265,upward
2025-06-30,614.3265380859375,0.8600218471112742,0.8651591376659358,0.7151591376659358,危機市場,0.0,1.85477701093693,0.5,transition,1.9357505914587154,597.0490936279297,upward
2025-07-01,614.127685546875,0.8544559472660964,0.8651591376659358,0.7151591376659358,危機市場,0.0,1.85477701093693,0.5,transition,1.935437298042072,598.3758361816406,upward
2025-07-02,616.9116821289062,0.8211520589703264,0.8651591376659358,0.7151591376659358,危機市場,0.0,1.85477701093693,0.5,transition,1.9398242121556142,599.6742370605468,upward
2025-07-03,621.7738037109375,0.8211925107987136,0.8651591376659358,0.7151591376659358,危機市場,0.0,1.85477701093693,0.5,transition,1.947468467760177,601.2236785888672,upward
2025-07-07,617.140380859375,0.8206409558966516,0.8651591376659358,0.7151591376659358,危機市場,0.0,1.85477701093693,0.5,transition,1.9402122558971469,602.6842071533204,upward
2025-07-08,616.8023681640625,0.7346755230186532,0.8651591376659358,0.7151591376659358,危機市場,0.0,1.85477701093693,0.5,transition,1.9396809210546746,603.825961303711,upward
2025-07-09,620.5010986328125,0.6793836354704889,0.8651591376659358,0.7151591376659358,過渡市場,0.5,1.8603382089779732,1.0,normal,1.9454966874108517,605.1258850097656,upward
2025-07-10,622.2510986328125,0.6676722942507671,0.8651591376659358,0.7151591376659358,過渡市場,0.5,1.862961566029947,1.0,normal,1.9509835740746635,606.3447784423828,upward
2025-07-11,620.0635986328125,0.6661946418399142,0.8651591376659358,0.7151591376659358,過渡市場,0.5,1.8596869808708012,1.0,normal,1.9441249657448987,607.53955078125,upward
2025-07-14,621.2467651367188,0.6646935345821731,0.8651591376659358,0.7151591376659358,過渡市場,0.5,1.861461249952528,1.0,normal,1.9478346231799568,608.675015258789,upward
2025-07-15,618.592041015625,0.6697431391996069,0.8651591376659358,0.7151591376659358,過渡市場,0.5,1.857484033202238,1.0,normal,1.9395110972507403,610.0123291015625,upward
2025-07-16,620.66015625,0.6717821812951392,0.8651591376659358,0.7151591376659358,過渡市場,0.5,1.8605890610493203,1.0,normal,1.945995390907151,611.1715026855469,upward
