,qqq_close,tw0050_close,qqq_20ma,tw0050_120ma,market_score,qqq_above_20ma,tw0050_above_120ma,ms_bullish,ms_bearish,ms_neutral,entry_signal,exit_signal,position_size,portfolio_value,cash,qqq_value,tw0050_value,buy_hold_qqq_value,buy_hold_tw0050_value,buy_hold_value,cummax,drawdown
2019-01-02,154.8800048828125,18.512500762939453,158.27950134277344,20.299687592188516,,False,False,False,False,False,False,True,0.0,131653.92370520296,131653.92370520296,0.0,0.0,69372.03650162692,62331.65079928181,131703.68730090873,140535.49175491848,-0.06319804299119104
2019-01-03,149.82000732421875,18.337499618530273,157.15400161743165,20.278854258855183,,False,False,False,False,False,False,True,0.0,131653.92370520296,131653.92370520296,0.0,0.0,67105.62170135297,61742.421371962904,128848.04307331587,140535.49175491848,-0.06319804299119104
2019-01-04,156.22999572753906,18.049999237060547,156.67950134277345,20.256354252497356,,False,False,False,False,False,False,True,0.0,131653.92370520296,131653.92370520296,0.0,0.0,69976.70857810376,60774.40664440613,130751.11522250989,140535.49175491848,-0.06319804299119104
2019-01-07,158.08999633789062,18.487499237060547,156.23950119018554,20.238437573115032,,True,False,False,False,False,False,False,0.0,131653.92370520296,131653.92370520296,0.0,0.0,70809.81825118253,62247.47057962975,133057.28883081226,140535.49175491848,-0.06319804299119104
2019-01-08,159.52000427246094,18.412500381469727,156.14650115966796,20.218854236602784,,True,False,False,False,False,False,False,0.0,131653.92370520296,131653.92370520296,0.0,0.0,71450.33064469445,61994.94918682088,133445.27983151533,140535.49175491848,-0.06319804299119104
2019-01-09,160.82000732421875,18.75,156.03400115966798,20.20156256357829,,True,False,False,False,False,False,False,0.0,131653.92370520296,131653.92370520296,0.0,0.0,72032.6127748313,63131.31150958356,135163.92428441485,140535.49175491848,-0.06319804299119104
2019-01-10,161.27999877929688,18.700000762939453,155.91750106811523,20.181041733423868,,True,False,False,False,False,False,False,0.0,131653.92370520296,131653.92370520296,0.0,0.0,72238.64675601732,62962.963914377644,135201.61067039496,140535.49175491848,-0.06319804299119104
2019-01-11,160.69000244140625,18.875,155.69950103759766,20.162187560399374,,True,False,False,False,False,False,False,0.0,131653.92370520296,131653.92370520296,0.0,0.0,71974.38251145622,63552.18691964745,135526.56943110368,140535.49175491848,-0.06319804299119104
2019-01-14,159.27000427246094,18.75,155.40800094604492,20.141979233423868,,True,False,False,False,False,False,False,0.0,131653.92370520296,131653.92370520296,0.0,0.0,71338.35357484267,63131.31150958356,134469.66508442623,140535.49175491848,-0.06319804299119104
2019-01-15,162.3800048828125,18.912500381469727,155.4730010986328,20.12302090326945,,True,False,False,False,False,False,False,0.0,131653.92370520296,131653.92370520296,0.0,0.0,72731.34859718033,63678.45082707644,136409.79942425678,140535.49175491848,-0.06319804299119104
