,qqq_close,tw0050_close,qqq_20ma,tw0050_120ma,market_score,qqq_above_20ma,tw0050_above_120ma,market_score_bullish,entry_signal,exit_signal,position,portfolio_value,cash,qqq_value,tw0050_value,buy_hold_qqq_value,buy_hold_tw0050_value,buy_hold_value,cummax,drawdown
2020-09-30,277.8399963378906,25.75,275.1240036010742,23.51593761444092,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,63660.52487940578,57735.42798424376,121395.95286364954,100000.0,0.0
2020-10-05,280.1600036621094,25.762500762939453,273.2725036621094,23.566458447774252,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,64192.100195884756,57763.456601658865,121955.55679754363,100000.0,0.0
2020-10-06,275.1600036621094,26.0625,273.53300323486326,23.615000120798747,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,63046.467354708315,58436.10065395546,121482.56800866377,100000.0,0.0
2020-10-07,279.9200134277344,26.200000762939453,273.6350036621094,23.66416680018107,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,64137.11205707243,58744.39833925524,122881.51039632768,100000.0,0.0
2020-10-08,281.4100036621094,26.549999237060547,274.0885040283203,23.71708345413208,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,64478.508406178866,59529.14830807907,124007.65671425793,100000.0,0.0
2020-10-12,294.5299987792969,26.762500762939453,275.820002746582,23.76666679382324,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,67484.64786264376,60005.60914473629,127490.25700738005,100000.0,0.0
2020-10-13,294.5199890136719,26.774999618530273,276.59300231933594,23.81687512397766,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,67482.35435939727,60033.63348558481,127515.98784498208,100000.0,0.0
2020-10-14,292.05999755859375,26.674999237060547,277.4655029296875,23.871250120798745,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,66918.70495940708,59809.41737596375,126728.12233537083,100000.0,0.0
2020-10-15,290.1000061035156,26.424999237060547,278.45450286865236,23.9235417842865,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,66469.61884353455,59248.879240194394,125718.49808372895,100000.0,0.0
2020-10-16,288.510009765625,26.3125,279.53650360107423,23.97427094777425,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,66105.308439127,58996.63878972481,125101.94722885182,100000.0,0.0
2020-10-19,283.79998779296875,26.649999618530273,280.3510025024414,24.02781260808309,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,65026.11726821947,59753.36441770013,124779.4816859196,100000.0,0.0
2020-10-20,284.4100036621094,26.5,280.94750213623047,24.076666768391927,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,65165.88811088473,59417.04239155183,124582.93050243656,100000.0,0.0
2020-10-21,284.19000244140625,26.487499237060547,281.9490020751953,24.12541675567627,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,65115.479986177445,59389.01377413673,124504.49376031417,100000.0,0.0
2020-10-22,284.17999267578125,26.524999618530273,282.8885009765625,24.17208342552185,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,65113.18648293095,59473.095349815456,124586.2818327464,100000.0,0.0
2020-10-23,284.739990234375,26.524999618530273,283.54750061035156,24.215000089009603,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,65241.49680175167,59473.095349815456,124714.59215156714,100000.0,0.0
2020-10-26,280.4700012207031,26.524999618530273,283.7110000610352,24.263125085830687,,False,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,64263.12887264666,59473.095349815456,123736.22422246211,100000.0,0.0
2020-10-27,282.6600036621094,26.375,284.04649963378904,24.30916674931844,,False,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,64764.916616472976,59136.773323667156,123901.68994014013,100000.0,0.0
2020-10-28,271.6400146484375,26.25,283.7365005493164,24.353958415985108,,False,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,62239.94435177976,58856.50425578248,121096.44860756224,100000.0,0.0
2020-10-29,276.3900146484375,25.962499618530273,283.4435012817383,24.395625082651772,,False,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,63328.29555089738,58211.884544334396,121540.18009523177,100000.0,0.0
2020-10-30,269.3800048828125,25.75,283.1970016479492,24.434479252497354,,False,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,61722.11607000387,57735.42798424376,119457.54405424763,100000.0,0.0
2020-11-02,269.9800109863281,25.850000381469727,282.68800201416013,24.472708415985107,,False,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,61859.59340942263,57959.64409386482,119819.23750328746,100000.0,0.0
2020-11-03,274.6499938964844,26.149999618530273,282.6625015258789,24.515520906448366,,False,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,62929.61056734418,58632.288146161416,121561.8987135056,100000.0,0.0
2020-11-04,286.9100036621094,26.537500381469727,283.01200103759766,24.561041736602782,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,65738.70453147295,59501.12396723055,125239.8284987035,100000.0,0.0
2020-11-05,294.3900146484375,26.512500762939453,283.66100158691404,24.608437569936118,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,67452.57377913255,59445.07100896694,126897.64478809948,100000.0,0.0
2020-11-06,294.6099853515625,26.674999237060547,284.10600128173826,24.65604173342387,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,67502.97491145189,59809.41737596375,127312.39228741564,100000.0,0.0
2020-11-09,288.5899963378906,27.024999618530273,283.80900115966796,24.708020893732705,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,66123.63548793513,60594.171621354166,126717.8071092893,100000.0,0.0
2020-11-10,283.4200134277344,26.774999618530273,283.2540023803711,24.75635422070821,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,64939.05504589593,60033.63348558481,124972.68853148074,100000.0,0.0
2020-11-11,289.760009765625,27.1875,283.13900299072264,24.80833338101705,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,66391.7166494211,60958.52226491756,127350.23891433867,100000.0,0.0
2020-11-12,288.3999938964844,27.200000762939453,283.0540023803711,24.858958387374877,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,66080.10088057938,60986.55088233267,127066.65176291205,100000.0,0.0
2020-11-13,290.92999267578125,27.3125,283.1750015258789,24.913750060399373,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,66659.79081851915,61238.79133280225,127898.5821513214,100000.0,0.0
2020-11-16,293.20001220703125,28.200000762939453,283.645002746582,24.974791733423867,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,67179.91260354152,63228.703425410094,130408.61602895163,100000.0,0.0
2020-11-17,292.2699890136719,28.399999618530273,284.03800201416016,25.03552090326945,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,66966.81958086787,63677.13136808563,130643.95094895351,100000.0,0.0
2020-11-18,290.1099853515625,28.587499618530273,284.334001159668,25.09802090326945,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,66471.9053543931,64097.534969912645,130569.44032430573,100000.0,0.0
2020-11-19,292.3800048828125,28.537500381469727,284.7440017700195,25.16114590962728,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,66992.02713941548,63985.42905338541,130977.45619280089,100000.0,0.0
2020-11-20,290.3800048828125,28.5,285.02600250244143,25.222708415985107,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,66533.7740029449,63901.34747770669,130435.12148065159,100000.0,0.0
2020-11-23,290.3900146484375,28.862499237060547,285.5220031738281,25.286354239781698,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,66536.06750619141,64714.12606394562,131250.19357013702,100000.0,0.0
2020-11-24,294.4700012207031,28.725000381469727,286.1125030517578,25.34802090326945,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,67470.90082794068,64405.83265521243,131876.7334831531,100000.0,0.0
2020-11-25,296.2799987792969,28.487499237060547,287.3445022583008,25.404583390553793,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,67885.61935705552,63873.31886029158,131758.9382173471,100000.0,0.0
2020-11-27,299.010009765625,28.662500381469727,288.47550201416016,25.51614589691162,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,68511.13740559752,64265.69812127009,132776.8355268676,100000.0,0.0
2020-11-30,299.6199951171875,28.325000762939453,289.9875015258789,25.565729236602785,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,68650.90125587482,63508.97249329477,132159.87374916958,100000.0,0.0
